V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102
0,-4.117,-4.173,-4.214,-4.241,-4.255,-4.255,-4.242,-4.218,-4.183,-4.137,-4.083,-4.019,-3.948,-3.871,-3.788,-3.701,-3.611,-3.519,-3.426,-3.334,-3.244,-3.158,-3.076,-3,-2.931,-2.871,-2.821,-2.781,-2.753,-2.738,-2.736,-2.749,-2.776,-2.82,-2.881,-2.958,-3.054,-3.168,-3.302,-3.454,-3.626,-3.819,-4.031,-4.262,-4.511,-4.778,-5.06,-5.357,-5.664,-5.98,-6.301,-6.622,-6.939,-7.248,-7.544,-7.821,-8.074,-8.298,-8.487,-8.639,-8.748,-8.812,-8.829,-8.796,-8.713,-8.582,-8.404,-8.182,-7.92,-7.624,-7.299,-6.952,-6.592,-6.225,-5.86,-5.504,-5.167,-4.856,-4.577,-4.338,-4.143,-3.997,-3.902,-3.861,-3.874,-3.94,-4.057,-4.223,-4.432,-4.678,-4.957,-5.26,-5.58,-5.909,-6.238,-6.56,-6.866,-7.148,-7.398,-7.61,NA
0,-3.881,-4.26,-4.681,-5.142,-5.636,-6.157,-6.7,-7.258,-7.823,-8.389,-8.948,-9.493,-10.017,-10.512,-10.974,-11.396,-11.775,-12.106,-12.388,-12.619,-12.798,-12.928,-13.009,-13.047,-13.044,-13.007,-12.942,-12.856,-12.757,-12.651,-12.548,-12.454,-12.378,-12.326,-12.304,-12.319,-12.375,-12.475,-12.622,-12.816,-13.058,-13.346,-13.677,-14.047,-14.451,-14.882,-15.335,-15.801,-16.271,-16.738,-17.192,-17.624,-18.026,-18.389,-18.705,-18.966,-19.167,-19.301,-19.364,-19.351,-19.26,-19.09,-18.839,-18.508,-18.098,-17.611,-17.051,-16.422,-15.727,-14.973,-14.165,-13.309,-12.412,-11.481,-10.522,-9.543,-8.551,-7.552,-6.554,-5.564,-4.589,-3.634,-2.707,-1.813,-0.958,-0.146,0.617,1.326,1.979,2.57,3.098,3.56,3.954,4.278,4.532,4.715,4.828,4.872,4.849,4.76,NA
0,9.262,8.96,8.613,8.227,7.81,7.369,6.912,6.445,5.975,5.51,5.056,4.619,4.205,3.818,3.463,3.145,2.865,2.628,2.434,2.285,2.183,2.127,2.118,2.156,2.24,2.369,2.542,2.758,3.015,3.31,3.643,4.011,4.41,4.839,5.294,5.771,6.266,6.776,7.295,7.817,8.339,8.853,9.354,9.836,10.293,10.717,11.105,11.449,11.744,11.986,12.17,12.294,12.354,12.349,12.278,12.143,11.943,11.682,11.364,10.991,10.57,10.107,9.609,9.081,8.533,7.971,7.403,6.839,6.284,5.747,5.234,4.753,4.308,3.904,3.547,3.238,2.981,2.777,2.626,2.527,2.48,2.482,2.529,2.619,2.745,2.905,3.091,3.298,3.521,3.753,3.989,4.222,4.448,4.661,4.856,5.03,5.18,5.301,5.393,5.452,NA
0,0.514,0.227,-0.052,-0.321,-0.576,-0.815,-1.037,-1.24,-1.422,-1.583,-1.722,-1.84,-1.936,-2.011,-2.067,-2.104,-2.125,-2.132,-2.126,-2.11,-2.085,-2.055,-2.02,-1.983,-1.945,-1.908,-1.873,-1.84,-1.81,-1.784,-1.762,-1.742,-1.726,-1.711,-1.696,-1.681,-1.663,-1.641,-1.613,-1.577,-1.531,-1.472,-1.399,-1.31,-1.201,-1.072,-0.919,-0.741,-0.537,-0.305,-0.043,0.249,0.573,0.929,1.317,1.737,2.19,2.673,3.187,3.729,4.299,4.893,5.509,6.144,6.794,7.457,8.126,8.797,9.466,10.126,10.772,11.399,12,12.568,13.099,13.586,14.024,14.408,14.733,14.995,15.192,15.32,15.379,15.366,15.283,15.13,14.91,14.623,14.274,13.867,13.406,12.896,12.343,11.751,11.126,10.475,9.803,9.117,8.422,7.724,NA
0,-1.016,-1.019,-1.009,-0.987,-0.956,-0.918,-0.879,-0.84,-0.806,-0.78,-0.769,-0.774,-0.801,-0.851,-0.93,-1.037,-1.175,-1.343,-1.541,-1.764,-2.012,-2.277,-2.555,-2.837,-3.117,-3.385,-3.633,-3.85,-4.029,-4.161,-4.237,-4.252,-4.2,-4.077,-3.881,-3.612,-3.271,-2.863,-2.392,-1.866,-1.294,-0.685,-0.051,0.597,1.246,1.885,2.501,3.083,3.62,4.103,4.524,4.876,5.155,5.357,5.481,5.526,5.495,5.39,5.217,4.98,4.687,4.344,3.96,3.543,3.102,2.644,2.179,1.714,1.257,0.816,0.397,0.007,-0.348,-0.664,-0.934,-1.156,-1.326,-1.439,-1.495,-1.49,-1.423,-1.293,-1.099,-0.841,-0.519,-0.134,0.313,0.821,1.386,2.008,2.682,3.406,4.176,4.988,5.838,6.72,7.632,8.567,9.522,10.49,NA
0,-2.204,-1.637,-1.079,-0.541,-0.032,0.439,0.862,1.231,1.54,1.784,1.962,2.072,2.116,2.094,2.012,1.875,1.69,1.463,1.204,0.923,0.627,0.327,0.032,-0.25,-0.51,-0.742,-0.941,-1.101,-1.221,-1.298,-1.334,-1.33,-1.29,-1.217,-1.119,-1.001,-0.872,-0.738,-0.609,-0.493,-0.398,-0.331,-0.298,-0.307,-0.36,-0.462,-0.614,-0.818,-1.072,-1.374,-1.72,-2.107,-2.529,-2.977,-3.447,-3.93,-4.417,-4.901,-5.374,-5.828,-6.256,-6.651,-7.009,-7.322,-7.589,-7.804,-7.966,-8.073,-8.124,-8.12,-8.06,-7.945,-7.777,-7.557,-7.288,-6.97,-6.606,-6.196,-5.744,-5.25,-4.715,-4.141,-3.528,-2.877,-2.19,-1.467,-0.708,0.083,0.907,1.762,2.644,3.551,4.481,5.428,6.389,7.359,8.332,9.304,10.266,11.214,NA
0,6.863,8.296,9.688,11.029,12.307,13.512,14.633,15.66,16.586,17.403,18.106,18.69,19.152,19.492,19.709,19.807,19.788,19.659,19.426,19.096,18.678,18.182,17.616,16.992,16.318,15.604,14.86,14.094,13.315,12.528,11.741,10.959,10.185,9.424,8.678,7.949,7.239,6.548,5.878,5.227,4.597,3.987,3.396,2.825,2.273,1.739,1.223,0.724,0.242,-0.226,-0.681,-1.125,-1.561,-1.99,-2.418,-2.847,-3.283,-3.729,-4.19,-4.671,-5.176,-5.709,-6.275,-6.876,-7.515,-8.191,-8.906,-9.659,-10.446,-11.264,-12.107,-12.969,-13.842,-14.717,-15.584,-16.432,-17.251,-18.03,-18.756,-19.419,-20.009,-20.515,-20.929,-21.243,-21.451,-21.549,-21.532,-21.4,-21.152,-20.79,-20.318,-19.74,-19.061,-18.289,-17.433,-16.5,-15.5,-14.444,-13.342,-12.203,NA
0,1.899,1.915,1.968,2.056,2.177,2.327,2.505,2.704,2.921,3.151,3.388,3.625,3.859,4.081,4.287,4.47,4.625,4.747,4.831,4.871,4.864,4.808,4.698,4.533,4.311,4.033,3.697,3.306,2.861,2.365,1.821,1.232,0.605,-0.057,-0.745,-1.455,-2.179,-2.91,-3.64,-4.363,-5.071,-5.756,-6.412,-7.033,-7.614,-8.149,-8.634,-9.067,-9.445,-9.767,-10.033,-10.245,-10.405,-10.515,-10.579,-10.603,-10.591,-10.55,-10.486,-10.406,-10.315,-10.22,-10.128,-10.043,-9.972,-9.918,-9.884,-9.874,-9.887,-9.926,-9.989,-10.074,-10.178,-10.299,-10.43,-10.567,-10.704,-10.834,-10.95,-11.046,-11.114,-11.148,-11.142,-11.09,-10.987,-10.829,-10.613,-10.336,-9.999,-9.6,-9.141,-8.625,-8.055,-7.434,-6.769,-6.064,-5.327,-4.564,-3.782,-2.988,NA
0,-5.931,-5.883,-5.812,-5.723,-5.617,-5.5,-5.373,-5.241,-5.107,-4.976,-4.85,-4.733,-4.628,-4.539,-4.466,-4.414,-4.383,-4.374,-4.388,-4.425,-4.485,-4.567,-4.669,-4.791,-4.93,-5.083,-5.249,-5.424,-5.605,-5.79,-5.975,-6.158,-6.336,-6.507,-6.668,-6.818,-6.954,-7.077,-7.184,-7.275,-7.351,-7.411,-7.456,-7.485,-7.501,-7.504,-7.495,-7.476,-7.446,-7.408,-7.362,-7.31,-7.251,-7.187,-7.116,-7.041,-6.959,-6.871,-6.775,-6.671,-6.557,-6.432,-6.295,-6.144,-5.978,-5.794,-5.592,-5.371,-5.128,-4.864,-4.578,-4.269,-3.937,-3.582,-3.205,-2.806,-2.387,-1.948,-1.491,-1.018,-0.529,-0.028,0.485,1.008,1.539,2.076,2.617,3.162,3.708,4.255,4.801,5.344,5.885,6.422,6.953,7.479,7.999,8.512,9.018,9.515,NA
0,7.925,7.005,6.031,5.009,3.945,2.847,1.722,0.579,-0.574,-1.73,-2.879,-4.012,-5.122,-6.201,-7.24,-8.233,-9.173,-10.053,-10.869,-11.616,-12.29,-12.888,-13.409,-13.85,-14.213,-14.497,-14.702,-14.832,-14.886,-14.867,-14.778,-14.622,-14.398,-14.112,-13.763,-13.354,-12.887,-12.362,-11.781,-11.144,-10.452,-9.706,-8.908,-8.057,-7.156,-6.207,-5.212,-4.175,-3.1,-1.993,-0.859,0.296,1.462,2.631,3.795,4.942,6.062,7.145,8.178,9.152,10.056,10.878,11.61,12.242,12.768,13.179,13.472,13.643,13.689,13.61,13.408,13.084,12.644,12.094,11.441,10.693,9.861,8.955,7.987,6.969,5.914,4.834,3.742,2.651,1.572,0.516,-0.505,-1.483,-2.409,-3.275,-4.076,-4.807,-5.464,-6.046,-6.551,-6.98,-7.336,-7.62,-7.837,-7.99,NA
0,2.606,2.326,2.052,1.782,1.516,1.255,0.997,0.742,0.489,0.239,-0.009,-0.255,-0.498,-0.738,-0.975,-1.206,-1.432,-1.651,-1.861,-2.06,-2.247,-2.419,-2.574,-2.71,-2.825,-2.917,-2.983,-3.021,-3.031,-3.01,-2.956,-2.868,-2.747,-2.59,-2.398,-2.172,-1.912,-1.619,-1.296,-0.943,-0.565,-0.163,0.257,0.693,1.14,1.593,2.047,2.498,2.941,3.37,3.781,4.169,4.529,4.858,5.153,5.409,5.625,5.798,5.927,6.011,6.049,6.041,5.987,5.888,5.745,5.558,5.331,5.064,4.759,4.417,4.042,3.635,3.198,2.734,2.245,1.734,1.203,0.655,0.094,-0.478,-1.055,-1.636,-2.214,-2.787,-3.348,-3.894,-4.419,-4.917,-5.384,-5.815,-6.205,-6.548,-6.84,-7.078,-7.257,-7.375,-7.428,-7.416,-7.337,-7.19,NA
0,11.2,10.34,9.46,8.562,7.652,6.735,5.813,4.891,3.971,3.059,2.155,1.263,0.385,-0.477,-1.321,-2.147,-2.953,-3.738,-4.503,-5.246,-5.969,-6.671,-7.352,-8.014,-8.656,-9.281,-9.889,-10.481,-11.058,-11.622,-12.172,-12.711,-13.238,-13.755,-14.262,-14.759,-15.245,-15.72,-16.182,-16.631,-17.063,-17.477,-17.869,-18.235,-18.573,-18.877,-19.143,-19.367,-19.543,-19.666,-19.733,-19.737,-19.677,-19.547,-19.345,-19.068,-18.717,-18.289,-17.786,-17.21,-16.563,-15.849,-15.072,-14.239,-13.357,-12.433,-11.476,-10.494,-9.498,-8.497,-7.502,-6.523,-5.57,-4.653,-3.782,-2.966,-2.213,-1.529,-0.923,-0.397,0.042,0.393,0.655,0.827,0.912,0.912,0.831,0.674,0.449,0.163,-0.176,-0.558,-0.973,-1.413,-1.865,-2.321,-2.771,-3.204,-3.612,-3.987,NA
0,9.098,7.837,6.614,5.433,4.297,3.208,2.166,1.172,0.227,-0.671,-1.521,-2.327,-3.089,-3.811,-4.494,-5.14,-5.753,-6.333,-6.883,-7.404,-7.899,-8.366,-8.807,-9.221,-9.608,-9.967,-10.297,-10.594,-10.859,-11.089,-11.281,-11.433,-11.543,-11.609,-11.629,-11.6,-11.523,-11.396,-11.218,-10.99,-10.711,-10.383,-10.007,-9.586,-9.12,-8.614,-8.07,-7.492,-6.884,-6.25,-5.595,-4.922,-4.238,-3.545,-2.85,-2.155,-1.466,-0.787,-0.121,0.528,1.158,1.765,2.348,2.904,3.433,3.933,4.405,4.847,5.26,5.645,6.004,6.336,6.643,6.927,7.189,7.432,7.656,7.863,8.055,8.232,8.397,8.549,8.689,8.818,8.936,9.043,9.138,9.221,9.291,9.348,9.391,9.418,9.43,9.425,9.402,9.362,9.304,9.228,9.133,9.022,NA
0,1.066,0.93,0.822,0.741,0.686,0.653,0.639,0.641,0.655,0.675,0.696,0.712,0.717,0.705,0.671,0.609,0.513,0.378,0.2,-0.024,-0.298,-0.624,-1.003,-1.435,-1.919,-2.455,-3.038,-3.666,-4.335,-5.038,-5.77,-6.524,-7.293,-8.069,-8.844,-9.61,-10.359,-11.082,-11.771,-12.42,-13.021,-13.568,-14.055,-14.478,-14.833,-15.119,-15.332,-15.474,-15.544,-15.545,-15.48,-15.353,-15.17,-14.935,-14.655,-14.338,-13.99,-13.62,-13.233,-12.839,-12.444,-12.054,-11.676,-11.313,-10.971,-10.653,-10.359,-10.092,-9.851,-9.634,-9.44,-9.264,-9.102,-8.949,-8.8,-8.648,-8.487,-8.309,-8.109,-7.88,-7.617,-7.313,-6.964,-6.567,-6.119,-5.617,-5.061,-4.452,-3.791,-3.081,-2.325,-1.528,-0.696,0.164,1.047,1.944,2.848,3.751,4.646,5.524,NA
0,5.564,5.883,6.172,6.423,6.632,6.794,6.904,6.96,6.958,6.897,6.775,6.593,6.349,6.046,5.683,5.262,4.786,4.257,3.678,3.053,2.384,1.677,0.934,0.16,-0.64,-1.462,-2.3,-3.15,-4.005,-4.861,-5.711,-6.551,-7.373,-8.174,-8.946,-9.685,-10.385,-11.041,-11.648,-12.203,-12.701,-13.14,-13.518,-13.832,-14.082,-14.269,-14.393,-14.456,-14.462,-14.413,-14.314,-14.17,-13.987,-13.771,-13.528,-13.265,-12.989,-12.705,-12.42,-12.139,-11.868,-11.609,-11.367,-11.143,-10.938,-10.753,-10.586,-10.436,-10.299,-10.173,-10.051,-9.931,-9.805,-9.67,-9.519,-9.348,-9.153,-8.928,-8.673,-8.383,-8.059,-7.701,-7.308,-6.885,-6.434,-5.96,-5.469,-4.965,-4.457,-3.95,-3.453,-2.972,-2.514,-2.087,-1.695,-1.345,-1.041,-0.785,-0.58,-0.427,NA
0,7.653,7.226,6.779,6.304,5.798,5.255,4.671,4.041,3.361,2.629,1.841,0.999,0.1,-0.853,-1.858,-2.912,-4.01,-5.145,-6.311,-7.5,-8.702,-9.909,-11.11,-12.294,-13.452,-14.573,-15.647,-16.665,-17.617,-18.497,-19.296,-20.01,-20.634,-21.165,-21.601,-21.94,-22.185,-22.336,-22.396,-22.369,-22.26,-22.074,-21.817,-21.495,-21.115,-20.683,-20.204,-19.687,-19.136,-18.557,-17.955,-17.335,-16.701,-16.056,-15.402,-14.743,-14.079,-13.412,-12.744,-12.074,-11.403,-10.731,-10.058,-9.384,-8.71,-8.037,-7.363,-6.692,-6.023,-5.359,-4.701,-4.052,-3.414,-2.791,-2.184,-1.598,-1.037,-0.502,0.001,0.471,0.903,1.296,1.648,1.956,2.22,2.438,2.611,2.74,2.827,2.872,2.88,2.852,2.795,2.71,2.605,2.483,2.35,2.211,2.072,1.938,NA
0,-8.464,-8.509,-8.552,-8.598,-8.649,-8.708,-8.775,-8.853,-8.94,-9.035,-9.136,-9.239,-9.342,-9.437,-9.521,-9.588,-9.63,-9.641,-9.616,-9.549,-9.433,-9.265,-9.041,-8.758,-8.416,-8.014,-7.555,-7.042,-6.48,-5.875,-5.236,-4.572,-3.894,-3.212,-2.539,-1.888,-1.27,-0.699,-0.186,0.258,0.622,0.898,1.08,1.161,1.138,1.011,0.781,0.45,0.024,-0.49,-1.083,-1.742,-2.458,-3.215,-3.999,-4.796,-5.59,-6.367,-7.112,-7.812,-8.454,-9.028,-9.523,-9.932,-10.25,-10.473,-10.6,-10.631,-10.569,-10.419,-10.186,-9.88,-9.509,-9.083,-8.615,-8.116,-7.599,-7.077,-6.561,-6.064,-5.597,-5.171,-4.795,-4.478,-4.227,-4.047,-3.945,-3.921,-3.979,-4.118,-4.336,-4.631,-4.999,-5.434,-5.931,-6.481,-7.077,-7.71,-8.369,-9.045,NA
0,1.341,0.373,-0.609,-1.603,-2.606,-3.614,-4.624,-5.632,-6.634,-7.624,-8.596,-9.546,-10.468,-11.354,-12.2,-12.998,-13.744,-14.431,-15.052,-15.605,-16.083,-16.482,-16.799,-17.031,-17.176,-17.233,-17.2,-17.079,-16.869,-16.573,-16.194,-15.734,-15.196,-14.586,-13.909,-13.169,-12.372,-11.526,-10.635,-9.707,-8.748,-7.767,-6.769,-5.763,-4.755,-3.753,-2.765,-1.797,-0.857,0.049,0.914,1.731,2.494,3.199,3.839,4.41,4.909,5.333,5.679,5.947,6.135,6.246,6.28,6.24,6.131,5.958,5.725,5.441,5.113,4.749,4.358,3.949,3.533,3.118,2.715,2.333,1.98,1.667,1.4,1.186,1.032,0.943,0.922,0.972,1.095,1.292,1.56,1.899,2.304,2.771,3.296,3.872,4.491,5.147,5.831,6.534,7.248,7.964,8.673,9.365,NA
0,4.223,4.421,4.671,4.973,5.325,5.723,6.165,6.647,7.164,7.712,8.285,8.878,9.487,10.106,10.729,11.352,11.97,12.578,13.174,13.752,14.31,14.846,15.358,15.843,16.301,16.732,17.134,17.51,17.858,18.18,18.477,18.751,19.001,19.229,19.437,19.624,19.793,19.942,20.072,20.183,20.274,20.345,20.393,20.419,20.42,20.395,20.343,20.261,20.149,20.005,19.828,19.618,19.374,19.097,18.788,18.448,18.078,17.682,17.263,16.823,16.367,15.9,15.426,14.95,14.478,14.015,13.566,13.137,12.733,12.359,12.019,11.717,11.458,11.244,11.078,10.961,10.894,10.879,10.916,11.002,11.137,11.32,11.547,11.814,12.12,12.46,12.829,13.224,13.64,14.071,14.514,14.964,15.416,15.865,16.309,16.742,17.163,17.567,17.953,18.319,NA
